L 35115c,4 hit 
L 30f5c0,4 miss eviction 
L 30f6c0,4 miss eviction 
L 30f7c0,4 miss eviction 
L 30f8c0,4 miss eviction 
S 351150,4 hit 
S 351154,4 hit 
S 351158,4 hit 
S 35115c,4 hit 
S 351540,4 miss eviction 
S 351544,4 hit 
S 351548,4 hit 
S 35154c,4 hit 
L 351250,4 hit 
L 351254,4 hit 
L 351258,4 hit 
L 35125c,4 hit 
L 30f5c4,4 hit 
L 30f6c4,4 hit 
L 30f7c4,4 hit 
L 30f8c4,4 hit 
S 351250,4 hit 
S 351254,4 hit 
S 351258,4 hit 
S 35125c,4 hit 
S 351640,4 miss eviction 
S 351644,4 hit 
S 351648,4 hit 
S 35164c,4 hit 
L 351350,4 hit 
L 351354,4 hit 
L 351358,4 hit 
L 35135c,4 hit 
L 30f5c8,4 hit 
L 30f6c8,4 hit 
L 30f7c8,4 hit 
L 30f8c8,4 hit 
S 351350,4 hit 
S 351354,4 hit 
S 351358,4 hit 
S 35135c,4 hit 
S 351740,4 miss eviction 
S 351744,4 hit 
S 351748,4 hit 
S 35174c,4 hit 
L 351450,4 hit 
L 351454,4 hit 
L 351458,4 hit 
L 35145c,4 hit 
L 30f5cc,4 hit 
L 30f6cc,4 hit 
L 30f7cc,4 hit 
L 30f8cc,4 hit 
S 351450,4 hit 
S 351454,4 hit 
S 351458,4 hit 
S 35145c,4 hit 
S 351840,4 miss eviction 
S 351844,4 hit 
S 351848,4 hit 
S 35184c,4 hit 
L 30f5d0,4 hit 
L 30f6d0,4 hit 
L 30f7d0,4 hit 
L 30f8d0,4 hit 
S 351550,4 hit 
S 351554,4 hit 
S 351558,4 hit 
S 35155c,4 hit 
L 30f5d4,4 hit 
L 30f6d4,4 hit 
L 30f7d4,4 hit 
L 30f8d4,4 hit 
S 351650,4 hit 
S 351654,4 hit 
S 351658,4 hit 
S 35165c,4 hit 
L 30f5d8,4 hit 
L 30f6d8,4 hit 
L 30f7d8,4 hit 
L 30f8d8,4 hit 
S 351750,4 hit 
S 351754,4 hit 
S 351758,4 hit 
S 35175c,4 hit 
L 30f5dc,4 hit 
L 30f6dc,4 hit 
L 30f7dc,4 hit 
L 30f8dc,4 hit 
S 351850,4 hit 
S 351854,4 hit 
S 351858,4 hit 
S 35185c,4 hit 
L 30f1e0,4 miss 
L 30f1e4,4 hit 
L 30f1e8,4 hit 
L 30f1ec,4 hit 
L 30f1f0,4 hit 
L 30f1f4,4 hit 
L 30f1f8,4 hit 
L 30f1fc,4 hit 
S 351940,4 miss eviction 
S 351a40,4 miss eviction 
S 351b40,4 miss eviction 
S 351c40,4 miss eviction 
S 351950,4 hit 
S 351a50,4 hit 
S 351b50,4 hit 
S 351c50,4 hit 
L 30f2e0,4 miss 
L 30f2e4,4 hit 
L 30f2e8,4 hit 
L 30f2ec,4 hit 
L 30f2f0,4 hit 
L 30f2f4,4 hit 
L 30f2f8,4 hit 
L 30f2fc,4 hit 
S 351944,4 hit 
S 351a44,4 hit 
S 351b44,4 hit 
S 351c44,4 hit 
S 351954,4 hit 
S 351a54,4 hit 
S 351b54,4 hit 
S 351c54,4 hit 
L 30f3e0,4 miss 
L 30f3e4,4 hit 
L 30f3e8,4 hit 
